01/04/2024, 22:06
Project Statistics

                 	Segments	Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2764	20372	                 112846	                130652	   180	
Remaining:       	    2521	20177	                 110738	                128366	   100	
Unique:          	    1910	16991	                  91684	                106687	    89	
Unique Remaining:	    1902	16946	                  91441	                106406	    89	


Individual File Statistics:

File Name                                  	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
misc/tips.md                               	            25	                25	             25	                       25	        260	            260	         260	                   260	                         1383	                             1383	                          1383	                                    1383	                        1588	                            1588	                         1588	                                   1588	
misc/videos.md                             	            25	                25	              8	                        8	         32	             32	          20	                    20	                          318	                              318	                           108	                                     108	                         337	                             337	                          120	                                    120	
mkdocs.yml                                 	           212	               110	             28	                       28	        201	            201	          51	                    51	                         1889	                             1379	                           364	                                     364	                        1990	                            1480	                          397	                                    397	
reconciliation/accessing-the-project.md    	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/creating-target-files.md    	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/creating-your-deliverable.md	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/glossary.md                 	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/hidden.md                   	             2	                 2	              0	                        0	          6	              6	           0	                     0	                           24	                               24	                             0	                                       0	                          28	                              28	                            0	                                      0	
reconciliation/index.md                    	             5	                 2	              1	                        1	         54	             24	           6	                     6	                          257	                              104	                            39	                                      39	                         308	                             127	                           45	                                     45	
reconciliation/install-and-setup-macos.md  	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/install-and-setup.md        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/matches.md                  	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/navigation.md               	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/other-useful-features.md    	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/qa-checks.md                	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/repetitions.md              	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/shortcuts.md                	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
reconciliation/tags.md                     	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/accessing-the-project.md            	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/creating-target-files.md            	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/creating-your-deliverable.md        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/glossary.md                         	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/hidden.md                           	             2	                 2	              0	                        0	          6	              6	           0	                     0	                           24	                               24	                             0	                                       0	                          28	                              28	                            0	                                      0	
review/index.md                            	             5	                 2	              1	                        1	         54	             24	           6	                     6	                          255	                              102	                            37	                                      37	                         306	                             125	                           43	                                     43	
review/install-and-setup-macos.md          	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/install-and-setup.md                	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/matches.md                          	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/navigation.md                       	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/other-useful-features.md            	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/qa-checks.md                        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/repetitions.md                      	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/shortcuts.md                        	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
review/tags.md                             	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
translation/accessing-the-project.md       	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
translation/creating-target-files.md       	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
translation/creating-your-deliverable.md   	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
translation/glossary.md                    	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
translation/hidden.md                      	             2	                 2	              0	                        0	          6	              6	           0	                     0	                           24	                               24	                             0	                                       0	                          28	                              28	                            0	                                      0	
translation/index.md                       	             5	                 2	              1	                        1	         54	             24	           6	                     6	                          254	                              101	                            36	                                      36	                         305	                             124	                           42	                                     42	
translation/install-and-setup-macos.md     	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
translation/install-and-setup.md           	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
translation/matches.md                     	             1	                 0	              0	                        0	          0	              0	           0	                     0	                            5	                                0	                             0	                                       0	                           5	                               0	                            0	                                      0	
